source_id,description,source_url,access_date_utc,license,original_filename,sha256,local_path,processing_script,notes
SANO-SEC-001,"Sano City security lights CSV (bouchanto itiran), includes denchu pole-number field",https://www.city.sano.lg.jp/material/files/group/17/100.csv,2026-09-24,"Sano City open data terms (secondary use permitted)",100.csv,69c1026c9888c89cb9a894cc7b688c723aa105a151b1678ecda270f0103f7034,data/raw/sano/sano_security_lights.csv,scripts/p03_data_audit.py,"9519 rows CP932; lat/lon complete; pole-number present with 391 duplicated values (multi-light poles plausible)"
KUDA-SEC-001,"Kudamatsu City security lights part1 (1-4000)",https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/91ad1a3d-3790-4bb0-8f60-1d8f061ba9c4/download/352071_security_lights1-2000.csv,2026-09-24,CC-BY,352071_security_lights1-2000.csv,2518de17d1e250a66b3c985b4a39dba6f2bbc8fe448df3f73cd5072fee8a8d68,data/raw/kudamatsu/352071_security_lights1-2000.csv,scripts/p03_data_audit.py,"CP932; lat/lon complete; security-light ID only (Tier2 anchor)"
KUDA-SEC-002,"Kudamatsu City security lights part2 (2001-4000)",https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/b58e497f-3db1-4bfc-ac6b-4de6bdfdd874/download/352071_security_lights2001-4000.csv,2026-09-24,CC-BY,352071_security_lights2001-4000.csv,ec2ce0bc30aa5279230ccc896f18f641a5cd572c73ab71a9e4b8e5c31cccb6d0,data/raw/kudamatsu/352071_security_lights2001-4000.csv,scripts/p03_data_audit.py,"same schema as part1"
KUDA-SEC-003,"Kudamatsu City security lights part3 (4001-)",https://yamaguchi-opendata.jp/ckan/dataset/cbc4f005-7812-41f6-8f5a-b9ed044a4f81/resource/d94036a3-3071-415c-bfa9-e44d9377eac3/download/352071_security_lights4001.csv,2026-09-24,CC-BY,352071_security_lights4001.csv,dd76ab1b26ff2bcddd11f81349f1903e05243263dd1523cfc6080d99ba04ba58,data/raw/kudamatsu/352071_security_lights4001.csv,scripts/p03_data_audit.py,"same schema as part1"
OSM-SANO-001,"OSM drive road graph Sano City (osmnx)",https://overpass-api.de,2026-09-24,ODbL,osm_sano.graphml,,data/raw/osm_sano.graphml,scripts/p05_gis_demand.py,"6471 nodes/18470 edges raw"
OSM-SANO-002,"OSM building footprints Sano City",https://overpass-api.de,2026-09-24,ODbL,osm_sano_buildings.geojson,,data/raw/osm_sano_buildings.geojson,scripts/p05_gis_demand.py,"47159 features"
OSM-KUDA-001,"OSM drive road graph Kudamatsu City",https://overpass-api.de,2026-09-24,ODbL,osm_kudamatsu.graphml,,data/raw/osm_kudamatsu.graphml,scripts/p05_gis_demand.py,"2934/7777"
OSM-KUDA-002,"OSM building footprints Kudamatsu City",https://overpass-api.de,2026-09-24,ODbL,osm_kudamatsu_buildings.geojson,,data/raw/osm_kudamatsu_buildings.geojson,scripts/p05_gis_demand.py,"2345 features"
OSM-YASU-001,"OSM drive road graph Yasu City",https://overpass-api.de,2026-09-24,ODbL,osm_yasu.graphml,,data/raw/osm_yasu.graphml,scripts/p05_gis_demand.py,"2631/7652"
OSM-YASU-002,"OSM building footprints Yasu City",https://overpass-api.de,2026-09-24,ODbL,osm_yasu_buildings.geojson,,data/raw/osm_yasu_buildings.geojson,scripts/p05_gis_demand.py,"4269 features"
