Municipality,Metric,Original,Corrected,Change,Reason,Interpretation
Sano,modeled demand (kW),51476.54746081371,51476.54746081371,0.0,Demand is unchanged; disconnected road components are now clustered separately.,"The correction changes electrical representation, not modeled demand."
Sano,feeder/service clusters,140.0,147.0,,Clustering is constrained within connected road-graph components and retains singletons.,No demand cluster is silently discarded because its road subgraph is disconnected.
Sano,S1 NPC (JPY),13328681203.749325,27916506362.22953,14587825158.480206,"Corrected NPC includes explicit transformers, equivalent LV services, catalogued cables and losses.",Absolute NPC is not directly comparable to the incomplete legacy boundary.
Sano,S2 NPC (JPY),11703167646.042564,26886955944.28366,15183788298.241096,Corrected NPC includes the same complete MV/LV/transformer boundary as S1.,Absolute NPC is higher because omitted assets were restored.
Sano,S1-S2 NPC difference (JPY),1625513557.706758,1029550417.9458734,-595963139.7608846,Recomputed after enforcing engineering feasibility and complete asset boundaries.,"Positive savings survive, but their magnitude changes."
Sano,combined static-horizon screening savings (%),12.19560684855682,3.6879629728268375,-8.507643875729983,Recomputed as an assumption-conditional combined routing and equipment-screening contrast.,"This is not a topology likelihood, causal topology effect, calibrated probability, or full life-cycle result."
Sano,minimum-construction routing-policy savings (%),,0.1838837660155527,,Reference-conductor reconstructed-route ensemble is compared with the fixed-conductor minimum-construction policy.,This isolates the declared routing-policy contrast from conductor sizing.
Sano,peak-loss reduction S1 to S2 (%),61.68018498499138,-10.290331405524727,-71.97051639051611,Corrected conductors use bounded one-edge economic search under ampacity and voltage gates.,"Losses are an explicit cost component, but the heuristic does not certify a global economic optimum."
Sano,maximum primary voltage drop (%),29.159604312907657,0.3217772759711062,-28.837827036936552,The legacy calculation applied a 415 V base to aggregated cluster routes; corrected routes are 6.6 kV primary feeders.,"The 29-38% values were structural/model artifacts, not feasible-network diagnostics."
Sano,minimum customer voltage (pu),,0.9737455833970152,,"New metric combines MV, transformer and equivalent LV-service drop.",All reported cluster models pass the frozen local-source screening gates; upstream utility networks are outside scope.
Sano,transformer units,,1875.0,,Explicit catalogued transformer units are sized at <=80% design loading.,Transformer count is now visible in engineering and cost boundaries.
Sano,edge-set divergence,0.0917163590377876,0.0340136054421768,-0.057702753595610806,"The metric is renamed from TLD because it is a Jaccard edge-set distance, not a likelihood.",The corrected candidate family often selects the minimum-construction topology; routing changes are modest.
Kudamatsu,modeled demand (kW),17240.926925944495,17240.926925944485,-1.0913936421275139e-11,Demand is unchanged; disconnected road components are now clustered separately.,"The correction changes electrical representation, not modeled demand."
Kudamatsu,feeder/service clusters,43.0,49.0,,Clustering is constrained within connected road-graph components and retains singletons.,No demand cluster is silently discarded because its road subgraph is disconnected.
Kudamatsu,S1 NPC (JPY),7321249249.481736,15165377050.079098,7844127800.597362,"Corrected NPC includes explicit transformers, equivalent LV services, catalogued cables and losses.",Absolute NPC is not directly comparable to the incomplete legacy boundary.
Kudamatsu,S2 NPC (JPY),7134990599.100377,14284014887.928123,7149024288.827746,Corrected NPC includes the same complete MV/LV/transformer boundary as S1.,Absolute NPC is higher because omitted assets were restored.
Kudamatsu,S1-S2 NPC difference (JPY),186258650.38136,881362162.1509743,695103511.7696142,Recomputed after enforcing engineering feasibility and complete asset boundaries.,"Positive savings survive, but their magnitude changes."
Kudamatsu,combined static-horizon screening savings (%),2.544082902170624,5.811673255736015,3.2675903535653914,Recomputed as an assumption-conditional combined routing and equipment-screening contrast.,"This is not a topology likelihood, causal topology effect, calibrated probability, or full life-cycle result."
Kudamatsu,minimum-construction routing-policy savings (%),,0.4144333639435777,,Reference-conductor reconstructed-route ensemble is compared with the fixed-conductor minimum-construction policy.,This isolates the declared routing-policy contrast from conductor sizing.
Kudamatsu,peak-loss reduction S1 to S2 (%),60.13018243784948,-11.131365332820273,-71.26154777066975,Corrected conductors use bounded one-edge economic search under ampacity and voltage gates.,"Losses are an explicit cost component, but the heuristic does not certify a global economic optimum."
Kudamatsu,maximum primary voltage drop (%),31.12323672816703,0.5931315347040365,-30.530105193462994,The legacy calculation applied a 415 V base to aggregated cluster routes; corrected routes are 6.6 kV primary feeders.,"The 29-38% values were structural/model artifacts, not feasible-network diagnostics."
Kudamatsu,minimum customer voltage (pu),,0.9700070578686116,,"New metric combines MV, transformer and equivalent LV-service drop.",All reported cluster models pass the frozen local-source screening gates; upstream utility networks are outside scope.
Kudamatsu,transformer units,,691.0,,Explicit catalogued transformer units are sized at <=80% design loading.,Transformer count is now visible in engineering and cost boundaries.
Kudamatsu,edge-set divergence,0.1085393611556402,0.0246305418719211,-0.0839088192837191,"The metric is renamed from TLD because it is a Jaccard edge-set distance, not a likelihood.",The corrected candidate family often selects the minimum-construction topology; routing changes are modest.
Yasu,modeled demand (kW),20012.79366485226,20012.79366485227,1.0913936421275139e-11,Demand is unchanged; disconnected road components are now clustered separately.,"The correction changes electrical representation, not modeled demand."
Yasu,feeder/service clusters,55.0,57.0,,Clustering is constrained within connected road-graph components and retains singletons.,No demand cluster is silently discarded because its road subgraph is disconnected.
Yasu,S1 NPC (JPY),5347292283.411623,11930105609.347654,6582813325.936031,"Corrected NPC includes explicit transformers, equivalent LV services, catalogued cables and losses.",Absolute NPC is not directly comparable to the incomplete legacy boundary.
Yasu,S2 NPC (JPY),4720643142.628306,11397250319.899416,6676607177.27111,Corrected NPC includes the same complete MV/LV/transformer boundary as S1.,Absolute NPC is higher because omitted assets were restored.
Yasu,S1-S2 NPC difference (JPY),626649140.7833159,532855289.4482381,-93793851.33507782,Recomputed after enforcing engineering feasibility and complete asset boundaries.,"Positive savings survive, but their magnitude changes."
Yasu,combined static-horizon screening savings (%),11.718999216244596,4.466475879565789,-7.252523336678807,Recomputed as an assumption-conditional combined routing and equipment-screening contrast.,"This is not a topology likelihood, causal topology effect, calibrated probability, or full life-cycle result."
Yasu,minimum-construction routing-policy savings (%),,0.1508995634519169,,Reference-conductor reconstructed-route ensemble is compared with the fixed-conductor minimum-construction policy.,This isolates the declared routing-policy contrast from conductor sizing.
Yasu,peak-loss reduction S1 to S2 (%),64.98041480925704,-9.839077867529372,-74.81949267678641,Corrected conductors use bounded one-edge economic search under ampacity and voltage gates.,"Losses are an explicit cost component, but the heuristic does not certify a global economic optimum."
Yasu,maximum primary voltage drop (%),37.78303525314241,0.4325907138227745,-37.35044453931963,The legacy calculation applied a 415 V base to aggregated cluster routes; corrected routes are 6.6 kV primary feeders.,"The 29-38% values were structural/model artifacts, not feasible-network diagnostics."
Yasu,minimum customer voltage (pu),,0.9710073582164842,,"New metric combines MV, transformer and equivalent LV-service drop.",All reported cluster models pass the frozen local-source screening gates; upstream utility networks are outside scope.
Yasu,transformer units,,748.0,,Explicit catalogued transformer units are sized at <=80% design loading.,Transformer count is now visible in engineering and cost boundaries.
Yasu,edge-set divergence,0.067051837051837,0.0350877192982456,-0.0319641177535914,"The metric is renamed from TLD because it is a Jaccard edge-set distance, not a likelihood.",The corrected candidate family often selects the minimum-construction topology; routing changes are modest.
